submission_pk,User,b'Score',b'AScore'
827738,NaiveNotNice.,10.00 (20),10.00 (20),
827728,Capybaraaaa,10.00 (20),10.00 (20),
827637,DoThaiDuong_Unknown,10.00 (20),10.00 (20),
827608,VoNguyenPhat,10.00 (20),10.00 (20),
827598,aithena_hcmus,10.00 (20),10.00 (20),
827513,thoreus,10.00 (20),10.00 (20),
827656,HeoCa,9.80 (21),9.80 (21),
827535,phuong.kieu2603,9.80 (21),9.80 (21),
827712,hoaiht,9.40 (22),9.40 (22),
827593,Duc0811,9.40 (22),9.40 (22),
827680,Anthropocene,9.20 (23),9.20 (23),
827667,xuandien,9.20 (23),9.20 (23),
827617,aio_deep,9.20 (23),9.20 (23),
827725,baolequoc1010,9.00 (24),9.00 (24),
827699,AI_Primary,9.00 (24),9.00 (24),
827681,HoangNhoo,9.00 (24),9.00 (24),
827668,BCBoyz,9.00 (24),9.00 (24),
827715,mtoan65,8.80 (25),8.80 (25),
827710,n01player,8.80 (25),8.80 (25),
827562,kaldemon,8.80 (25),8.80 (25),
827740,hungvtm,8.40 (26),8.40 (26),
827685,tb-tian,8.40 (26),8.40 (26),
827650,vgu_warriors,8.40 (26),8.40 (26),
827624,dolphin_team2357,8.40 (26),8.40 (26),
827747,LauDaiTinhAI,8.20 (27),8.20 (27),
827708,Tran_Bao_Son,8.00 (28),8.00 (28),
827676,luanhoangbui,8.00 (28),8.00 (28),
827587,Kumo,7.80 (29),7.80 (29),
827679,theseekers,7.60 (30),7.60 (30),
827645,RTX_2080Ti,7.60 (30),7.60 (30),
827524,thanhtronggg,7.20 (31),7.20 (31),
827743,HITClub,7.00 (32),7.00 (32),
827729,AIronman,7.00 (32),7.00 (32),
827694,tabao,7.00 (32),7.00 (32),
827719,Quy,6.40 (33),6.40 (33),
827711,TheShelbys,6.40 (33),6.40 (33),
827631,yangtuananh,6.40 (33),6.40 (33),
827609,linhnv,6.40 (33),6.40 (33),
827591,SKT_T1,6.00 (34),6.00 (34),
827567,aio_tmb,6.00 (34),6.00 (34),
827698,WORRIER,5.80 (35),5.80 (35),
827732,ultron,5.00 (36),5.00 (36),
827644,enigmas,5.00 (36),5.00 (36),
827642,ngocduy2514,5.00 (36),5.00 (36),
827657,IUS_Horus,4.80 (37),4.80 (37),
827717,SeaI,4.60 (38),4.60 (38),
827647,nhidang912,4.60 (38),4.60 (38),
827695,ducnd58233,3.60 (39),3.60 (39),
827658,fourfive123,3.00 (40),3.00 (40),
827643,AIO_Hubew,3.00 (40),3.00 (40),
827575,bmeazy,3.00 (40),3.00 (40),
827565,presencesw,3.00 (40),3.00 (40),
827531,namquan,3.00 (40),3.00 (40),
827432,HKirito,3.00 (40),3.00 (40),
827665,audihop354,2.60 (41),2.60 (41),
827445,thi,2.60 (41),2.60 (41),
827734,mooner,2.00 (42),2.00 (42),
827701,capyAI,2.00 (42),2.00 (42),
827686,Flavor,2.00 (42),2.00 (42),
827388,milanac,1.60 (43),1.60 (43),
827684,nguyenChiTinh,1.40 (44),1.40 (44),
827661,quainhan1110,1.40 (44),1.40 (44),
827670,NIDIM,1.00 (45),1.00 (45),
827733,hontrn9122,0.00 (46),0.00 (46),
827718,moho_team,0.00 (46),0.00 (46),
827709,nguyendvk,0.00 (46),0.00 (46),
827638,frogdance,0.00 (46),0.00 (46),
827476,tranduytan24,0.00 (46),0.00 (46),
